,astronaut_id,selection_id,year_of_selection
800,396,1996 NASA group 8,1996
801,397,NASA- 16,1996
802,397,NASA- 16,1996
803,397,NASA- 16,1996
804,397,NASA- 16,1996
805,398,NASA- 16,1996
806,398,NASA- 16,1996
807,399,IMBP-5,1989
808,400,NASA- 15,1995
809,400,NASA- 15,1995
810,400,NASA- 15,1995
811,401,NASA-16,1996
812,401,NASA-16,1996
813,402,NASA- 16,1996
814,402,NASA- 16,1996
815,403,NASA-16,1996
816,404,NASA-16,1996
817,404,NASA-16,1996
818,404,NASA-16,1996
819,405,TsPK-12,1997
820,405,TsPK-12,1997
821,405,TsPK-12,1997
822,407,NASA- 16,1996
823,407,NASA- 16,1996
824,407,NASA- 16,1996
825,408,NASA- 16,1996
826,408,NASA- 16,1996
827,408,NASA- 16,1996
828,409,NPOE-11,1994
829,409,NPOE-11,1994
830,409,NPOE-11,1994
831,410,RKKE-12,1996
832,411,NASA- 16,1996
833,411,NASA- 16,1996
834,411,NASA- 16,1996
835,411,NASA- 16,1996
836,412,1996 NASA group,1996
837,412,1996 NASA group,1996
838,413,NASA- 16,1996
839,414,NASA- 16,1996
840,414,NASA- 16,1996
841,415,NASA- 16,1996
842,415,NASA- 16,1996
843,416,1996 NASA group,1996
844,416,1996 NASA group,1996
845,416,1996 NASA group,1996
846,417,NASA- 16,1996
847,418,1998 ESA Group,1998
848,418,1998 ESA Group,1998
849,418,1998 ESA Group,1998
850,419,Space Tourist 2,2001
851,420,NASA- 16,1996
852,420,NASA- 17,1996
853,421,CNES-3/EAC,1990
854,422,1996 NASA group,1996
855,424,NASA- 16,1996
856,424,NASA- 16,1996
857,424,NASA- 16,1996
858,425,NASA-16,1996
859,425,NASA-16,1996
860,425,NASA-16,1996
861,426,RKKE-14,1997
862,426,RKKE-14,1997
863,427,EAC,1998
864,428,NASA- 16,1996
865,429,NASA-16,1996
866,430,NASA- 16,1996
867,431,NASA- 16,1996
868,432,NASA- 16,1996
869,433,1996 NASA Group,1996
870,434,China-1,2003
871,435,NASA- 16,1996
872,435,NASA- 16,1996
873,436,1998 ESA Group,1998
874,437,MKS,1996
875,438,NASDA-3,1996
876,439,NASA- 16,1996
877,440,,2004
878,441,China-1,2005
879,442,China-1,2005
880,442,China-1,2005
881,443,1998 NASA Group,1998
882,444,NASA- 17,1998
883,444,NASA- 17,1998
884,445,NASA-16,1996
885,446,1996 NASA group,1996
886,446,1996 NASA group,1996
887,446,1996 NASA group,1996
888,447,NASA- 17,1998
889,447,NASA- 17,1998
